 ,Area,Mean,Min,Max
1,30,255,255,255
2,361,255,255,255
3,91,255,255,255
4,59,255,255,255
5,270,255,255,255
6,425,255,255,255
7,330,255,255,255
8,285,255,255,255
9,391,255,255,255
10,189,255,255,255
11,229,255,255,255
12,233,255,255,255
13,452,255,255,255
14,282,255,255,255
15,99,255,255,255
16,451,255,255,255
17,298,255,255,255
18,126,255,255,255
19,276,255,255,255
20,40,255,255,255
21,95,255,255,255
22,160,255,255,255
23,105,255,255,255
24,439,255,255,255
25,427,255,255,255
26,259,255,255,255
27,218,255,255,255
28,123,255,255,255
29,380,255,255,255
30,116,255,255,255
31,130,255,255,255
32,467,255,255,255
33,376,255,255,255
34,88,255,255,255
35,313,255,255,255
36,37,255,255,255
37,374,255,255,255
38,405,255,255,255
39,430,255,255,255
40,206,255,255,255
41,189,255,255,255
42,466,255,255,255
43,486,255,255,255
44,207,255,255,255
45,284,255,255,255
46,383,255,255,255
47,243,255,255,255
48,30,255,255,255
49,345,255,255,255
50,264,255,255,255
51,123,255,255,255
52,447,255,255,255
53,135,255,255,255
54,29,255,255,255
55,233,255,255,255
56,135,255,255,255
57,68,255,255,255
58,98,255,255,255
59,279,255,255,255
60,363,255,255,255
61,22,255,255,255
62,386,255,255,255
63,422,255,255,255
64,83,255,255,255
65,309,255,255,255
66,358,255,255,255
67,205,255,255,255
68,349,255,255,255
69,88,255,255,255
70,394,255,255,255
71,304,255,255,255
72,144,255,255,255
73,134,255,255,255
74,85,255,255,255
75,388,255,255,255
76,221,255,255,255
77,104,255,255,255
78,65,255,255,255
79,165,255,255,255
80,339,255,255,255
81,135,255,255,255
82,289,255,255,255
83,141,255,255,255
84,153,255,255,255
85,217,255,255,255
86,121,255,255,255
87,405,255,255,255
88,429,255,255,255
89,183,255,255,255
90,336,255,255,255
91,219,255,255,255
92,103,255,255,255
93,125,255,255,255
94,155,255,255,255
95,240,255,255,255
96,193,255,255,255
97,499,255,255,255
98,342,255,255,255
99,244,255,255,255
100,381,255,255,255
101,294,255,255,255
102,378,255,255,255
103,147,255,255,255
104,397,255,255,255
105,312,255,255,255
106,282,255,255,255
107,327,255,255,255
108,308,255,255,255
109,155,255,255,255
110,196,255,255,255
111,63,255,255,255
112,309,255,255,255
113,201,255,255,255
114,243,255,255,255
115,163,255,255,255
116,209,255,255,255
117,424,255,255,255
118,192,255,255,255
119,193,255,255,255
120,489,255,255,255
121,120,255,255,255
122,218,255,255,255
123,201,255,255,255
124,58,255,255,255
125,353,255,255,255
126,166,255,255,255
127,330,255,255,255
128,239,255,255,255
129,317,255,255,255
130,57,255,255,255
131,62,255,255,255
132,210,255,255,255
133,308,255,255,255
134,366,255,255,255
135,488,255,255,255
136,440,255,255,255
137,407,255,255,255
138,178,255,255,255
139,439,255,255,255
140,303,255,255,255
141,293,255,255,255
142,331,255,255,255
143,104,255,255,255
144,260,255,255,255
145,90,255,255,255
146,139,255,255,255
147,30,255,255,255
148,449,255,255,255
149,159,255,255,255
150,391,255,255,255
151,444,255,255,255
152,375,255,255,255
153,284,255,255,255
154,286,255,255,255
155,393,255,255,255
156,455,255,255,255
157,396,255,255,255
158,209,255,255,255
159,451,255,255,255
160,491,255,255,255
161,426,255,255,255
162,403,255,255,255
163,77,255,255,255
164,334,255,255,255
165,98,255,255,255
166,292,255,255,255
167,297,255,255,255
168,174,255,255,255
169,350,255,255,255
170,56,255,255,255
171,276,255,255,255
172,446,255,255,255
173,119,255,255,255
174,466,255,255,255
175,314,255,255,255
176,37,255,255,255
177,221,255,255,255
178,307,255,255,255
179,290,255,255,255
180,163,255,255,255
181,138,255,255,255
182,488,255,255,255
183,346,255,255,255
184,350,255,255,255
185,73,255,255,255
186,465,255,255,255
187,271,255,255,255
188,213,255,255,255
189,300,255,255,255
190,129,255,255,255
191,327,255,255,255
192,284,255,255,255
193,115,255,255,255
194,273,255,255,255
195,152,255,255,255
196,188,255,255,255
197,86,255,255,255
198,431,255,255,255
199,356,255,255,255
200,222,255,255,255
201,480,255,255,255
202,495,255,255,255
203,445,255,255,255
204,342,255,255,255
205,250,255,255,255
206,213,255,255,255
207,203,255,255,255
208,228,255,255,255
209,169,255,255,255
210,416,255,255,255
211,397,255,255,255
212,162,255,255,255
213,205,255,255,255
214,427,255,255,255
215,42,255,255,255
216,369,255,255,255
217,167,255,255,255
218,332,255,255,255
219,278,255,255,255
220,81,255,255,255
221,248,255,255,255
222,30,255,255,255
223,455,255,255,255
224,202,255,255,255
225,326,255,255,255
226,47,255,255,255
227,190,255,255,255
228,255,255,255,255
229,44,255,255,255
230,321,255,255,255
231,222,255,255,255
232,387,255,255,255
233,408,255,255,255
234,258,255,255,255
235,485,255,255,255
236,436,255,255,255
237,414,255,255,255
238,412,255,255,255
239,439,255,255,255
240,408,255,255,255
241,244,255,255,255
242,238,255,255,255
243,295,255,255,255
244,222,255,255,255
245,329,255,255,255
246,239,255,255,255
